#,Age,club,season,position,player_name,market_value_eur
11,23.0,Arsenal,2324,Left Winger,Gabriel Martinelli,70000000.0
19,29.0,Arsenal,2324,Left Winger,Leandro Trossard,35000000.0
24,24.0,Arsenal,2324,Left Winger,Reiss Nelson,15000000.0
-,19.0,Arsenal,2324,Left Winger,Charles Sagoe Jr,600000.0
7,22.0,Arsenal,2324,Right Winger,Bukayo Saka,140000000.0
-,19.0,Arsenal,2324,Right Winger,Amario Cozier-Duberry,2000000.0
29,25.0,Arsenal,2324,Centre-Forward,Kai Havertz,70000000.0
9,27.0,Arsenal,2324,Centre-Forward,Gabriel Jesus,65000000.0
14,25.0,Arsenal,2324,Centre-Forward,Eddie Nketiah,30000000.0
22,29.0,Arsenal,2425,Goalkeeper,David Raya,40000000.0
-,27.0,Arsenal,2425,Goalkeeper,Aaron Ramsdale,16000000.0
32,35.0,Arsenal,2425,Goalkeeper,Neto,1500000.0
-,16.0,Arsenal,2425,Goalkeeper,Jack Porter,400000.0
-,19.0,Arsenal,2425,Goalkeeper,Alexéi Rojas,250000.0
-,19.0,Arsenal,2425,Goalkeeper,Tommy Setford,
2,24.0,Arsenal,2425,Centre-Back,William Saliba,80000000.0
6,27.0,Arsenal,2425,Centre-Back,Gabriel,75000000.0
15,25.0,Arsenal,2425,Centre-Back,Jakub Kiwior,28000000.0
-,18.0,Arsenal,2425,Centre-Back,Ayden Heaven,5000000.0
-,21.0,Arsenal,2425,Centre-Back,Zane Monlouis,400000.0
-,19.0,Arsenal,2425,Centre-Back,Maldini Kacurri,300000.0
-,17.0,Arsenal,2425,Centre-Back,Brayden Clarke,
33,23.0,Arsenal,2425,Left-Back,Riccardo Calafiori,35000000.0
17,28.0,Arsenal,2425,Left-Back,Oleksandr Zinchenko,20000000.0
3,28.0,Arsenal,2425,Left-Back,Kieran Tierney,9000000.0
12,24.0,Arsenal,2425,Right-Back,Jurriën Timber,55000000.0
4,27.0,Arsenal,2425,Right-Back,Ben White,45000000.0
18,26.0,Arsenal,2425,Right-Back,Takehiro Tomiyasu,18000000.0
-,20.0,Arsenal,2425,Right-Back,Josh Robinson,
-,18.0,Arsenal,2425,Right-Back,Josh Nichols,
5,32.0,Arsenal,2425,Defensive Midfield,Thomas Partey,14000000.0
-,33.0,Arsenal,2425,Defensive Midfield,Jorginho,6000000.0
-,21.0,Arsenal,2425,Defensive Midfield,Jack Henry-Francis,200000.0
41,26.0,Arsenal,2425,Central Midfield,Declan Rice,120000000.0
49,18.0,Arsenal,2425,Central Midfield,Myles Lewis-Skelly,45000000.0
23,29.0,Arsenal,2425,Central Midfield,Mikel Merino,35000000.0
-,21.0,Arsenal,2425,Central Midfield,Salah Oulad,400000.0
-,20.0,Arsenal,2425,Central Midfield,Jimi Gower,
-,19.0,Arsenal,2425,Right Midfield,Michał Rosiak,
8,26.0,Arsenal,2425,Attacking Midfield,Martin Ødegaard,85000000.0
53,18.0,Arsenal,2425,Attacking Midfield,Ethan Nwaneri,55000000.0
11,24.0,Arsenal,2425,Left Winger,Gabriel Martinelli,55000000.0
19,30.0,Arsenal,2425,Left Winger,Leandro Trossard,22000000.0
-,25.0,Arsenal,2425,Left Winger,Reiss Nelson,16000000.0
7,23.0,Arsenal,2425,Right Winger,Bukayo Saka,150000000.0
30,30.0,Arsenal,2425,Right Winger,Raheem Sterling,10000000.0
-,19.0,Arsenal,2425,Right Winger,Ismeal Kabia,
29,26.0,Arsenal,2425,Centre-Forward,Kai Havertz,65000000.0
9,28.0,Arsenal,2425,Centre-Forward,Gabriel Jesus,32000000.0
-,26.0,Arsenal,2425,Centre-Forward,Eddie Nketiah,18000000.0
-,22.0,Arsenal,2425,Centre-Forward,Nathan Butler-Oyedeji,1000000.0
